,Created at,User ID,Text
0,2022-06-21 13:25:35+00:00,1539238098642550788,"@LindseyGrahamSC The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA), Inhofe (LA) &amp;  Graham (SC)"
1,2022-06-21 13:25:26+00:00,1539238063594999816,"@LindseyGrahamSC The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA), Inhofe (LA) &amp;  Graham (SC)"
2,2022-06-21 13:25:16+00:00,1539238022344056832,"@LindseyGrahamSC The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA), Inhofe (LA) &amp;  Graham (SC)"
3,2022-06-21 13:25:04+00:00,1539237969013374978,"@LindseyGrahamSC The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA), Inhofe (LA) &amp;  Graham (SC)"
4,2022-06-21 13:24:54+00:00,1539237927024197636,"@LindseyGrahamSC The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA), Inhofe (LA) &amp;  Graham (SC)"
5,2022-06-21 13:24:43+00:00,1539237883009196033,"@LindseyGrahamSC The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA), Inhofe (LA) &amp;  Graham (SC)"
6,2022-06-21 13:24:35+00:00,1539237849362472960,"@LindseyGrahamSC The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA), Inhofe (LA) &amp;  Graham (SC)"
7,2022-06-21 13:24:26+00:00,1539237812964413442,"@LindseyGrahamSC The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA), Inhofe (LA) &amp;  Graham (SC)"
8,2022-06-21 13:22:18+00:00,1539237274663235584,"@elonmusk The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA),  Inhofe (LA) &amp;  Graham (SC)"
9,2022-06-21 13:22:10+00:00,1539237242559946752,"@elonmusk The Dems January 6th Committee/Red Flag Laws are out to destroy Trump &amp; make America into a proxy Communist nation controlled by Russia/China by social media (like China TikTok) supported by lying Senate RINOs McConnell (KY), Cornyn (TX), Cassidy (LA),  Inhofe (LA) &amp;  Graham (SC)"
