campaign fb,filename,persoanl fb,id
[],Harold_John.csv,https://www.facebook.com/harold.john.31521,harold.john.31521
['https://www.facebook.com/SanjanettaBarnes/'],Sanjanetta_Barnes.csv,https://www.facebook.com/profile.php?id=100011156583133,100011156583133
['https://www.facebook.com/PetrilliforCongress/'],George_Petrilli.csv,https://www.facebook.com/george.petrilli,george.petrilli
['https://www.facebook.com/KatieBrittforAL/'],Katie_Britt.csv,https://www.facebook.com/katieboydbritt,katieboydbritt
['https://www.facebook.com/davyrayforcongress'],Davy_Ray.csv,https://www.facebook.com/davy.ray.1,davy.ray.1
['https://www.facebook.com/wright4congress/'],Ron_Wright.csv,https://www.facebook.com/daddadwright,daddadwright
['https://www.facebook.com/WashburneforCongress'],Mark_Washburne.csv,https://www.facebook.com/mark.washburne,mark.washburne
['https://www.facebook.com/ZachNunnforCongress'],Zach_Nunn.csv,https://www.facebook.com/zmnunn,zmnunn
['https://www.facebook.com/DerwinMontgomery/'],Derwin_Montgomery.csv,https://www.facebook.com/JustDerwin?ref=br_rs,JustDerwin?ref=br_rs
[],Esmeralda_Soria.csv,https://www.facebook.com/profile.php?id=1219379,1219379
['https://www.facebook.com/DominickMoreno21/'],Dominick_Moreno.csv,https://www.facebook.com/dominick.moreno.3,dominick.moreno.3
[],Adam_Hollier.csv,https://www.facebook.com/adamant4detroit,adamant4detroit
['https://www.facebook.com/officiallyburgessowens'],Burgess_Owens.csv,https://www.facebook.com/burgess.owens,burgess.owens
['https://www.facebook.com/DeannaForCongress/'],Deanna_Lorraine.csv,https://www.facebook.com/deanna.lorraine,deanna.lorraine
['https://www.facebook.com/jake4congressUT'],Jake_Hunsaker.csv,https://www.facebook.com/jake.hunsaker.560,jake.hunsaker.560
['https://www.facebook.com/HausmanForCongress'],Matt_Hausman.csv,https://www.facebook.com/matthew.hausman.7,matthew.hausman.7
['https://www.facebook.com/GuyetteforCongress/'],Matthew_Guyette.csv,https://www.facebook.com/Plutocycle,Plutocycle
['https://www.facebook.com/SpenceMorrisIII/'],Spence_Morris.csv,https://www.facebook.com/spence.morris,spence.morris
['https://www.facebook.com/allydalsimer1'],Ally_Dalsimer.csv,https://www.facebook.com/ally.dalsimer.7,ally.dalsimer.7
['https://www.facebook.com/JamaalBowmanNY/'],Jamaal_Bowman.csv,https://www.facebook.com/jamaal.bowman.10,jamaal.bowman.10
[],Kelly_Townsend.csv,https://www.facebook.com/KellyTownsend1968,KellyTownsend1968
['https://www.facebook.com/dannyforcongress/'],Daniel_Ellyson.csv,https://www.facebook.com/danny.ellyson.3,danny.ellyson.3
[],Yushonda_Midgette.csv,https://www.facebook.com/apostleyushonda,apostleyushonda
['https://www.facebook.com/DarrenParryForCongress/'],Darren_Parry.csv,https://www.facebook.com/darren.parry.7,darren.parry.7
['https://www.facebook.com/BrittForUSSenate/'],Elysabeth_Britt.csv,https://www.facebook.com/ElysabethBritt,ElysabethBritt
['https://www.facebook.com/AnnieAndrewsMD/'],Annie_Andrews.csv,https://www.facebook.com/annie.l.andrews.3,annie.l.andrews.3
['https://www.facebook.com/Dugas4Congress/'],Lee_Dugas.csv,https://www.facebook.com/lee.dugas.79,lee.dugas.79
['https://www.facebook.com/strongforalabama/'],Dale_Strong.csv,https://www.facebook.com/chairmandalestrong,chairmandalestrong
['https://www.facebook.com/HartsonForCA/'],Alison_Hartson.csv,https://www.facebook.com/AlisonForCalifornia,AlisonForCalifornia
[],Thomas_Lamb.csv,https://www.facebook.com/tlamb775,tlamb775
['https://www.facebook.com/RyanChamberlinForCongress'],Ryan_Chamberlin.csv,https://www.facebook.com/RyanDChamberlin,RyanDChamberlin
[],Gavriel_Grossbard.csv,https://www.facebook.com/gabi.grossbard,gabi.grossbard
"['https://www.facebook.com/joeycamp2020', 'http://www.facebook.com/joeycamp2020']",Joseph_Camp.csv,http://www.facebook.com/campjosepha,campjosepha
"['https://www.facebook.com/Herzog2020/', 'https://www.facebook.com/Herzog2020/']",Jonathan_Herzog.csv,https://www.facebook.com/jonathan.herzog.5,jonathan.herzog.5
[],Kent_Morrell.csv,https://www.facebook.com/kent.morrell,kent.morrell
['https://www.facebook.com/raiserforcongress/'],Steve_Raiser.csv,https://www.facebook.com/steve.raiser.5,steve.raiser.5
['https://www.facebook.com/granthamforaz/'],Travis_Grantham.csv,https://www.facebook.com/travis.grantham.5,travis.grantham.5
['https://www.facebook.com/sarkarforcd4/'],Debesh_Sarkar.csv,https://www.facebook.com/debesh.sarkar.986?ref=br_rs,debesh.sarkar.986?ref=br_rs
['https://www.facebook.com/Stevefor1/'],Steve_Scheetz.csv,https://www.facebook.com/cz85b,cz85b
['https://www.facebook.com/khaaliqforsenate'],Haneefah_Khaaliq.csv,https://www.facebook.com/hkhaaliq,hkhaaliq
['https://www.facebook.com/AvaEdwardsNC'],Ava_Edwards.csv,https://www.facebook.com/AvaMEdwardsNC,AvaMEdwardsNC
['https://www.facebook.com/PatrickMosesTX/'],Patrick_Moses.csv,https://www.facebook.com/patrick.moses.568,patrick.moses.568
