post_id,text,post_text,shared_text,original_text,time,timestamp,image,image_lowquality,images,images_description,images_lowquality,images_lowquality_description,video,video_duration_seconds,video_height,video_id,video_quality,video_size_MB,video_thumbnail,video_watches,video_width,likes,comments,shares,post_url,link,links,user_id,username,user_url,is_live,factcheck,shared_post_id,shared_time,shared_user_id,shared_username,shared_post_url,available,comments_full,reactors,w3_fb_url,reactions,reaction_count,with,page_id,sharers,image_id,image_ids,video_ids,videos,was_live,header
10225565142414111,"You and your team hosted a wonderful conference Katie Lee Koven

Katie Lee Koven is with Julie Margueritte Taquin and Zaira Arredondo.
12 hrs ·

A few pics from the Association of Academic Museums and Galleries conference. Darren Parry gave an incredible opening keynote. We had excursions to various places, one to Golden Spike and Spiral Jetty. It was great to spend some time with colleagues. Alexandra did an amazing job managing logistics for this hybrid conference. There were both in person and virtual presenters and attendees. It was kind of amazing that we pulled it off! Thanks to my staff as well who gave a lot of their time to do things they don’t typically have to do- like be tech support for a virtual session. They are so awesome.",You and your team hosted a wonderful conference Katie Lee Koven,"Katie Lee Koven is with Julie Margueritte Taquin and Zaira Arredondo.
12 hrs ·

A few pics from the Association of Academic Museums and Galleries conference. Darren Parry gave an incredible opening keynote. We had excursions to various places, one to Golden Spike and Spiral Jetty. It was great to spend some time with colleagues. Alexandra did an amazing job managing logistics for this hybrid conference. There were both in person and virtual presenters and attendees. It was kind of amazing that we pulled it off! Thanks to my staff as well who gave a lot of their time to do things they don’t typically have to do- like be tech support for a virtual session. They are so awesome.",,2022-06-18 20:24:03,,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287716249_10223988107065342_5573440576870770528_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=106&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=4nyFIGV3AlkAX8-1JCQ&_nc_ht=scontent-sea1-1.xx&oh=00_AT8V9aHcaT5-aAtzStkgG0iZ18CQZw3gc2NXH7f7DiiOhA&oe=62B497CD&manual_redirect=1,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287716249_10223988107065342_5573440576870770528_n.jpg?stp=cp0_dst-jpg_e15_p160x160_q65&_nc_cat=106&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=4nyFIGV3AlkAX8-1JCQ&_nc_ht=scontent-sea1-1.xx&oh=00_AT-m81i2sykDR_4UikQ7YM6h4t5Q7KY-jF5BKYGpv1VGCA&oe=62B497CD,"['https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287716249_10223988107065342_5573440576870770528_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=106&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=4nyFIGV3AlkAX8-1JCQ&_nc_ht=scontent-sea1-1.xx&oh=00_AT8V9aHcaT5-aAtzStkgG0iZ18CQZw3gc2NXH7f7DiiOhA&oe=62B497CD&manual_redirect=1', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287969068_10223988110665432_271986689303207708_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=108&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=MViZlGYABFQAX-IWC-d&_nc_ht=scontent-sea1-1.xx&oh=00_AT9K_q7EafOHN9u6eeI0RFmytRvYUrd5XEHdtT4QkAKJjQ&oe=62B4BCC2&manual_redirect=1', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287699732_10223988110225421_333474584744331076_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=D0VjO7C9-80AX-HGiD-&_nc_ht=scontent-sea1-1.xx&oh=00_AT_FRp3XCBI1hGpEmiFPstrzymy7W4pHcFzYz-W96HEvwA&oe=62B45717&manual_redirect=1', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287479602_10223988107265347_3512660340026551063_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=107&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=kbqBT_WMunMAX8ina15&tn=y9RIhtjcLrjeDzHT&_nc_ht=scontent-sea1-1.xx&oh=00_AT-5iUMRWr70De8KPMnzlVJHeaxBn5_GUQmaf8Mg3CSYNQ&oe=62B39069&manual_redirect=1', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287746245_10223988107145344_7907225164826356598_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=102&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=GsxOkHio3LkAX8Wj0oZ&tn=y9RIhtjcLrjeDzHT&_nc_ht=scontent-sea1-1.xx&oh=00_AT-8dEgHcib7HiI3acAIGpN4kkoAaunTx7CHE0Qba_wsrQ&oe=62B3B28A&manual_redirect=1', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/288296934_10223988110945439_470897866906937980_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=102&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=uyWcs3dRm3YAX9Xhj1D&_nc_ht=scontent-sea1-1.xx&oh=00_AT-q2UrlNSp4jbahDgPI5V6wCdW_isYKJklEkDxtdvHhxg&oe=62B368AF&manual_redirect=1', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287869341_10223988110545429_334522120975651521_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=111&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=ZBduKgpZJTEAX_NVGKW&tn=y9RIhtjcLrjeDzHT&_nc_ht=scontent-sea1-1.xx&oh=00_AT8O8zY3aukLS812SvMY9AWTJuFvaT-SGGkbDXXpypuUrA&oe=62B3BE75&manual_redirect=1', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/288505974_10223988111065442_8117809802654528174_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=108&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=-8gfAgX8ki8AX8kg6By&_nc_oc=AQneAzyYCXB9F0ea7r6zIxassnHr8tE70UCH5E82kzpKAzEq_IwcTrIP6ecwt3qOK88&tn=y9RIhtjcLrjeDzHT&_nc_ht=scontent-sea1-1.xx&oh=00_AT-YvB1vs68AIBPYZMWBUFTqIzJDdO5u2YinqgZFnCUUUg&oe=62B33045&manual_redirect=1']","['May be an image of 3 people, people sitting and indoor', ""May be an image of 1 person and text that says 'STATE UtahState University'"", 'May be an image of cake', 'May be an image of 6 people, people sitting and mountain', 'May be an image of 9 people and railroad', 'May be an image of train and railroad', 'May be an image of 10 people, coast, ocean and beach', 'May be an image of 14 people, people standing, body of water and beach']","['https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287716249_10223988107065342_5573440576870770528_n.jpg?stp=cp0_dst-jpg_e15_p160x160_q65&_nc_cat=106&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=4nyFIGV3AlkAX8-1JCQ&_nc_ht=scontent-sea1-1.xx&oh=00_AT-m81i2sykDR_4UikQ7YM6h4t5Q7KY-jF5BKYGpv1VGCA&oe=62B497CD', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287969068_10223988110665432_271986689303207708_n.jpg?stp=cp0_dst-jpg_e15_p160x160_q65&_nc_cat=108&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=MViZlGYABFQAX-IWC-d&_nc_ht=scontent-sea1-1.xx&oh=00_AT9qofeqbZ5fup9CPJARf8bNOD22k2Xmi2FPYEfUwRI8nQ&oe=62B4BCC2', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287699732_10223988110225421_333474584744331076_n.jpg?stp=cp0_dst-jpg_e15_p110x80_q65&_nc_cat=111&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=D0VjO7C9-80AX-HGiD-&_nc_ht=scontent-sea1-1.xx&oh=00_AT9iBEXO44c5mnPmtvGFsFStJ0CyQegtW3Fo1D89SsPsDw&oe=62B45717', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287479602_10223988107265347_3512660340026551063_n.jpg?stp=cp0_dst-jpg_e15_p110x80_q65&_nc_cat=107&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=kbqBT_WMunMAX8ina15&tn=y9RIhtjcLrjeDzHT&_nc_ht=scontent-sea1-1.xx&oh=00_AT_yNTBGeN6FTYSmRdAMbn77r8GCw-TOy0u4WHLc2S-fkw&oe=62B39069', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/287746245_10223988107145344_7907225164826356598_n.jpg?stp=cp0_dst-jpg_e15_p118x118_q65&_nc_cat=102&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=GsxOkHio3LkAX8Wj0oZ&tn=y9RIhtjcLrjeDzHT&_nc_ht=scontent-sea1-1.xx&oh=00_AT9J0NYKBTAv4CzxUUalRL_r_CfWVY27wFV7SBtVnD0vWA&oe=62B3B28A']","['May be an image of 3 people, people sitting and indoor', ""May be an image of 1 person and text that says 'STATE UtahState University'"", 'May be an image of cake', 'May be an image of 6 people, people sitting and mountain', 'May be an image of 9 people and railroad']",,,,,,,,,,21,0,0,https://facebook.com/darren.parry.7/posts/10225565142414111,,"[{'link': '/katiealee?refid=17&_ft_=qid.-6130012688279113454%3Amf_story_key.10225565142414111%3Atop_level_post_id.10225565142414111%3Atl_objid.10225565142414111%3Acontent_owner_id_new.1194082179%3Aoriginal_content_id.10223988106345324%3Aoriginal_content_owner_id.1077947803%3Athrowback_story_fbid.10225565142414111%3Aphoto_id.10223988061064192%3Astory_location.4%3Aattached_story_attachment_style.album%3Asty.22%3Aapp_id.6628568379%3Aattached_story_type.EntStatusCreationStory%3Aattached_story_attachment_type.PhotoSetAttachment%3Apos.1%3Aprofile_id.1194082179%3Aprofile_relationship_type.6%3Aactrs.1194082179%3Athid.1194082179%3A306061129499414%3A2%3A0%3A1656658799%3A2872676495401656125%3A%3A%3Aftmd_400706.111111l&__tn__=%2As-R', 'text': 'Katie Lee Koven'}, {'link': '/darren.parry.7?lst=100006565235294%3A1194082179%3A1655627039&refid=17&_ft_=qid.-6130012688279113454%3Amf_story_key.10225565142414111%3Atop_level_post_id.10225565142414111%3Atl_objid.10225565142414111%3Acontent_owner_id_new.1194082179%3Aoriginal_content_id.10223988106345324%3Aoriginal_content_owner_id.1077947803%3Athrowback_story_fbid.10225565142414111%3Aphoto_id.10223988061064192%3Astory_location.4%3Aattached_story_attachment_style.album%3Asty.22%3Aapp_id.6628568379%3Aattached_story_type.EntStatusCreationStory%3Aattached_story_attachment_type.PhotoSetAttachment%3Apos.1%3Aprofile_id.1194082179%3Aprofile_relationship_type.6%3Aactrs.1194082179%3Athid.1194082179%3A306061129499414%3A2%3A0%3A1656658799%3A2872676495401656125%3A%3A%3Aftmd_400706.111111l&__tn__=%2AsH-R', 'text': 'Darren Parry'}, {'link': '/story.php?story_fbid=10223988106345324&id=1077947803&refid=17', 'text': 'More'}, {'link': '/alexandra.chamberlain.12?refid=17&_ft_=qid.-6130012688279113454%3Amf_story_key.10225565142414111%3Atop_level_post_id.10225565142414111%3Atl_objid.10225565142414111%3Acontent_owner_id_new.1194082179%3Aoriginal_content_id.10223988106345324%3Aoriginal_content_owner_id.1077947803%3Athrowback_story_fbid.10225565142414111%3Aphoto_id.10223988061064192%3Astory_location.4%3Aattached_story_attachment_style.album%3Asty.22%3Aapp_id.6628568379%3Aattached_story_type.EntStatusCreationStory%3Aattached_story_attachment_type.PhotoSetAttachment%3Apos.1%3Aprofile_id.1194082179%3Aprofile_relationship_type.6%3Aactrs.1194082179%3Athid.1194082179%3A306061129499414%3A2%3A0%3A1656658799%3A2872676495401656125%3A%3A%3Aftmd_400706.111111l&__tn__=%2AsH-R', 'text': 'Alexandra'}]",1194082179,Darren Parry,https://facebook.com/darren.parry.7?lst=100006565235294%3A1194082179%3A1655627039&refid=17&_ft_=qid.-6130012688279113454%3Amf_story_key.10225565142414111%3Atop_level_post_id.10225565142414111%3Atl_objid.10225565142414111%3Acontent_owner_id_new.1194082179%3Aoriginal_content_id.10223988106345324%3Aoriginal_content_owner_id.1077947803%3Athrowback_story_fbid.10225565142414111%3Aphoto_id.10223988061064192%3Astory_location.4%3Aattached_story_attachment_style.album%3Asty.22%3Aapp_id.6628568379%3Aattached_story_type.EntStatusCreationStory%3Aattached_story_attachment_type.PhotoSetAttachment%3Apos.1%3Aprofile_id.1194082179%3Aprofile_relationship_type.6%3Aactrs.1194082179%3Athid.1194082179%3A306061129499414%3A2%3A0%3A1656658799%3A2872676495401656125%3A%3A%3Aftmd_400706.111111l&__tn__=C-R,False,,10223988106345324,2022-06-18 20:24:17,1077947803,Katie Lee Koven,https://facebook.com/story.php?story_fbid=10223988106345324&id=1077947803,True,,,,,,"[{'name': 'Katie Lee Koven', 'link': '/katiealee?refid=17&_ft_=qid.-6130012688279113454%3Amf_story_key.10225565142414111%3Atop_level_post_id.10225565142414111%3Atl_objid.10225565142414111%3Acontent_owner_id_new.1194082179%3Aoriginal_content_id.10223988106345324%3Aoriginal_content_owner_id.1077947803%3Athrowback_story_fbid.10225565142414111%3Aphoto_id.10223988061064192%3Astory_location.4%3Aattached_story_attachment_style.album%3Asty.22%3Aapp_id.6628568379%3Aattached_story_type.EntStatusCreationStory%3Aattached_story_attachment_type.PhotoSetAttachment%3Apos.1%3Aprofile_id.1194082179%3Aprofile_relationship_type.6%3Aactrs.1194082179%3Athid.1194082179%3A306061129499414%3A2%3A0%3A1656658799%3A2872676495401656125%3A%3A%3Aftmd_400706.111111l&__tn__=CH-R'}]",,,,[],[],[],False,Darren Parry
10225564975369935,We are sitting here at lunch in Jackson at Cafe Genevieve. The wind is blowing in her hair and I said you look like the girl in the “White Snake” video. 😂 Doesn’t get any better 😊,We are sitting here at lunch in Jackson at Cafe Genevieve. The wind is blowing in her hair and I said you look like the girl in the “White Snake” video. 😂 Doesn’t get any better 😊,,,2022-06-18 19:24:17,,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/286992782_10225564976329959_2213839292464902894_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=103&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=fo6wFb0by18AX-ITwGv&_nc_ht=scontent-sea1-1.xx&oh=00_AT957TEB5dUhbYYpcN0qxW_FUbrz_ulPV30JzNlgM2Fd5Q&oe=62B3EC32&manual_redirect=1,https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/286992782_10225564976329959_2213839292464902894_n.jpg?stp=cp0_dst-jpg_e15_p240x240_q65&_nc_cat=103&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=fo6wFb0by18AX-ITwGv&_nc_ht=scontent-sea1-1.xx&oh=00_AT_owowMvDPTt5O6_dupJv5n61O9FL1xuSG-wmr0LhEDng&oe=62B3EC32,"['https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/286992782_10225564976329959_2213839292464902894_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=103&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=fo6wFb0by18AX-ITwGv&_nc_ht=scontent-sea1-1.xx&oh=00_AT957TEB5dUhbYYpcN0qxW_FUbrz_ulPV30JzNlgM2Fd5Q&oe=62B3EC32&manual_redirect=1', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/286751937_10225564976369960_458194542080020510_n.jpg?stp=cp0_dst-jpg_e15_fr_q65&_nc_cat=109&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=xuuD1LmUUXEAX9Ru2Qb&_nc_ht=scontent-sea1-1.xx&oh=00_AT-diEwMO6638nFp68-tQLgoN-pkqCMhhi7RfQq_mIGK2Q&oe=62B32DFD&manual_redirect=1']","['May be an image of 1 person, tree and outdoors', 'May be an image of 1 person and outdoors']","['https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/286992782_10225564976329959_2213839292464902894_n.jpg?stp=cp0_dst-jpg_e15_p240x240_q65&_nc_cat=103&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=fo6wFb0by18AX-ITwGv&_nc_ht=scontent-sea1-1.xx&oh=00_AT_owowMvDPTt5O6_dupJv5n61O9FL1xuSG-wmr0LhEDng&oe=62B3EC32', 'https://scontent-sea1-1.xx.fbcdn.net/v/t39.30808-6/286751937_10225564976369960_458194542080020510_n.jpg?stp=cp0_dst-jpg_e15_p240x240_q65&_nc_cat=109&ccb=1-7&_nc_sid=110474&efg=eyJpIjoidCJ9&_nc_ohc=xuuD1LmUUXEAX9Ru2Qb&_nc_ht=scontent-sea1-1.xx&oh=00_AT9zINv4_FSAqL5yOD1sTCMXB2_QmSAjJmbAcpCZD61xTw&oe=62B32DFD']","['May be an image of 1 person, tree and outdoors', 'May be an image of 1 person and outdoors']",,,,,,,,,,111,19,0,https://facebook.com/darren.parry.7/posts/10225564975369935,,[],1194082179,Darren Parry,https://facebook.com/darren.parry.7?lst=100006565235294%3A1194082179%3A1655627039&refid=17&_ft_=qid.-6130012688482972784%3Amf_story_key.10225564975369935%3Atop_level_post_id.10225564975369935%3Atl_objid.10225564975369935%3Acontent_owner_id_new.1194082179%3Athrowback_story_fbid.10225564975369935%3Aphoto_attachments_list.%5B10225564974449912%2C10225564974529914%5D%3Aphoto_id.10225564974449912%3Astory_location.4%3Astory_attachment_style.album%3Asty.22%3Aent_attachement_type.PhotoSetAttachment%3Aapp_id.6628568379%3Apos.1%3Aprofile_id.1194082179%3Aprofile_relationship_type.6%3Aactrs.1194082179%3Athid.1194082179%3A306061129499414%3A2%3A0%3A1656658799%3A2695589698561880946%3A%3A%3Aftmd_400706.111111l&__tn__=C-R,False,,,,,,,True,,,,,,,,,,[],[],[],False,
